dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity,n_paired_seed_cells,n_training_seeds,n_graph_seeds,ci_method
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23438119901680854,0.007723272590080766,0.22441138280973694,0.2394812069629834,0.7812706633893618,0.025744241966935883,0.7480379426991232,0.7982706898766113,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2333351307107653,0.0024933739790459417,0.23036504494471788,0.23587969253067184,0.7777837690358845,0.00831124659681983,0.7678834831490596,0.7862656417689061,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23909874846793175,0.0006189588355189633,0.23860964246881744,0.2398104884934814,0.7969958282264392,0.002063196118396514,0.7953654748960582,0.7993682949782714,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.20263412614967047,0.004640520652109924,0.19670684943599306,0.20634367035960535,0.6754470871655682,0.015468402173699748,0.655689498119977,0.687812234532018,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.11981393765084285,0.01467344952346291,0.10087472831431187,0.12962619874661327,0.39937979216947617,0.04891149841154304,0.3362490943810395,0.43208732915537756,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12038402721071974,0.005128346124827811,0.11434976233410936,0.1257432089362135,0.40128009070239923,0.01709448708275937,0.3811658744470312,0.41914402978737825,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.1348506408351746,0.002506414619553367,0.13199483966482178,0.13742570299890836,0.4495021361172487,0.008354715398511228,0.4399827988827392,0.45808567666302796,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.0889840016532661,0.004666047470072424,0.08341192666337156,0.09375198607966033,0.2966133388442204,0.015553491566908093,0.27803975554457194,0.31250662026553444,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19595529927795677,0.006321795399285108,0.18779390881159982,0.20004826560608316,0.6531843309265226,0.02107265133095037,0.625979696038666,0.6668275520202772,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19725678368570762,0.0015089254109689199,0.19535769019998506,0.1985389800765094,0.6575226122856921,0.005029751369896408,0.6511923006666169,0.6617966002550314,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
