dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
yelpchi,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,mlp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,mlp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,1,3,1,split_bootstrap_over_split_means,clean
yelpchi,camouflage_feature_oracle,0.0,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,1,3,1,split_bootstrap_over_split_means,clean
