split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,severity,model_id,metric,oracle_labels,claim_scope,left_claim_scope,right_claim_scope,operational_ranking_eligible,left_protocol,right_protocol,contrast_definition,left_mean,right_mean,contrast_mean,contrast_std,contrast_ci_lower,contrast_ci_upper,n_splits,min_pairs_per_split,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,mlp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.4060183289392887,0.4060183289392887,0.0,0.0,0.0,0.0,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,mlp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6538326159046216,0.6538326159046216,0.0,0.0,0.0,0.0,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,mlp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7823719533628771,0.7823719533628771,0.0,0.0,0.0,0.0,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,pmp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.5552613216133242,0.5552613216133242,0.0,0.0,0.0,0.0,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,pmp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7174531815578268,0.7174531815578268,0.0,0.0,0.0,0.0,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,pmp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.8456095121048636,0.8456095121048636,0.0,0.0,0.0,0.0,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,sage,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.3992330266056244,0.39821984499025387,0.0010131816153704733,0.00098667930967676,-5.3428560446588956e-05,0.0018933196742849767,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,sage,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6497380235622016,0.6490481483492816,0.0006898752129199659,0.0005294919754304891,0.00015037401890545256,0.0012087554915951593,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,sage,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7651267213218675,0.7649293071507189,0.00019741417114855036,0.00039407640932937377,-0.00017362487347096777,0.0006110646578533441,3,5,5,1,split_bootstrap_over_split_means,clean
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,0.0,secgfd,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.4497688826157887,0.45212708842776705,-0.002358205811978431,0.0031670576422367014,-0.0056749572590602095,0.0006341953940629197,3,5,5,1,split_bootstrap_over_split_means,clean
