dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7874991091518592,0.022067852245887656,0.7675594767377161,0.7977213104976402,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7924381403626047,0.005388672840876128,0.7876042649616755,0.7958081617124713,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7761940580714842,0.0068140239060226334,0.7708071291384897,0.7817871052065931,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7677964268605101,0.008467958961165369,0.7612424332692811,0.7753392916623473,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8465935467722904,0.0053034952490293285,0.8422065007904251,0.8503677868931181,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7867666259417266,0.005301335966795862,0.7825699001373526,0.7907511173593813,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7639185065459713,0.005513278810447245,0.7598256429160518,0.7684018594049172,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8029645568206764,0.013371933367305845,0.792540278245698,0.8129117892532464,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
